,time,assetCode,assetName,volume,close,open,returnsClosePrevRaw1,returnsOpenPrevRaw1,returnsClosePrevMktres1,returnsOpenPrevMktres1,returnsClosePrevRaw10,returnsOpenPrevRaw10,returnsClosePrevMktres10,returnsOpenPrevMktres10,returnsOpenNextMktres10,universe
1932258,2012-01-03 22:00:00+00:00,HBC.N,HSBC Holdings PLC,2485500.0,39.23,38.84,0.029658792650920637,0.02129897449381901,0.008882417352375244,0.0221196250651166,0.0557050592034456,0.035733333333331174,-0.020571684963762462,-0.006751496036318479,0.020709929947249326,1.0
1933934,2012-01-04 22:00:00+00:00,HBC.N,HSBC Holdings PLC,1720700.0,39.25,39.14,0.0005098139179169348,0.007723995880534852,0.0002555930748425839,0.003405144447305714,0.06919095614273907,0.0487674169346195,-0.026945100925144683,-0.010091681386381205,0.05423454640765708,1.0
1935614,2012-01-05 22:00:00+00:00,HBC.N,HSBC Holdings PLC,2005100.0,38.8,38.76,-0.011464968152863351,-0.009708737864076,-0.015348176887918688,-0.009776174169275809,0.02078400420941984,0.02512562814070285,-0.030016274628278387,-0.0462068848495646,0.06920673453077295,1.0
1937292,2012-01-06 22:00:00+00:00,HBC.N,HSBC Holdings PLC,1361700.0,38.31,38.61,-0.012628865979383395,-0.0038699690402491656,-0.009259797230147065,-0.00503090815342409,0.010817941952506072,0.01179245283018937,-0.03149697884784007,-0.025405120220434056,0.060749736859663984,1.0
1938970,2012-01-09 22:00:00+00:00,HBC.N,HSBC Holdings PLC,1996600.0,38.26,38.27,-0.0013051422605044882,-0.008806008806005572,-0.0042930658954009136,-0.0078007176271931095,-0.002606882168925795,0.007900974453519005,-0.03438554072654566,-0.022647303384139287,0.05390119116676259,1.0
1940649,2012-01-10 22:00:00+00:00,HBC.N,HSBC Holdings PLC,2529500.0,39.0,38.86,0.019341348667014646,0.015416775542198112,0.00731803946900461,0.014452362367762837,0.012723967800573277,0.011189175123601292,-0.017733961255137497,-0.010552872686676295,0.0907566656282456,1.0
1942330,2012-01-11 22:00:00+00:00,HBC.N,HSBC Holdings PLC,3857200.0,38.55,38.54,-0.011538461538462164,-0.008234688625836206,-0.011973100263618542,-0.01071023119417236,0.005215123859191095,0.0020800832033271988,-0.02484356383019157,-0.017341061459658882,0.09462589260316592,1.0
1944010,2012-01-12 22:00:00+00:00,HBC.N,HSBC Holdings PLC,4507600.0,38.66,38.75,0.0028534370946824428,0.005448884276076482,-0.00023223496515251693,0.005316512884790002,0.027098831030820225,0.013336820083680978,-0.0254952383795249,-0.009944783085010112,0.08190557473456905,1.0
1945689,2012-01-13 22:00:00+00:00,HBC.N,HSBC Holdings PLC,2285000.0,38.6,38.46,-0.0015519917227129199,-0.007483870967740724,0.004929182744806721,-0.008098670896365767,0.01445466491458269,0.02614727854855992,-0.015339258850520338,-0.01373246479838415,0.07705636282388126,1.0
1947370,2012-01-17 22:00:00+00:00,HBC.N,HSBC Holdings PLC,2035500.0,39.45,39.48,0.022020725388604445,0.026521060842431776,0.01734117323078163,0.02697062114388276,0.03543307086614389,0.038127793846961085,-0.008071469557520507,0.01288851773063615,0.08807675011887521,1.0
